truck_id,order_id,node_id,node_type,event_type,truck_status,timestamp,vehicle_gps_latitude,vehicle_gps_longitude,fuel_consumption_rate,eta_variation_hours,traffic_congestion_level,warehouse_inventory_level,loading_unloading_time,handling_equipment_availability,order_fulfillment_status,weather_condition_severity,port_congestion_level,shipping_costs,supplier_reliability_score,lead_time_days,historical_demand,iot_temperature,cargo_condition_status,route_risk_level,customs_clearance_time,driver_behavior_score,fatigue_monitoring_score,disruption_likelihood_score,delay_probability,risk_classification,delivery_time_deviation,pending_orders_count,episode_id
T12,1068,N39,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 00:15:48,49.713391,22.79065,5.99,-2.0,0.73,0.0,0.5,1,0.5951,0.4488,8.01,615.39,0.6959,5.55,7064.11,-10.0,1,6.21,1.95,0.524,0.1675,0.5194,0.6908,Moderate Risk,78.98,28,5
T38,3130,N39,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 00:24:39,49.713391,22.79065,10.48,3.57,0.44,1160.84,0.5,1,0.4104,0.5374,0.0,688.25,0.5303,3.98,7235.8,-10.0,0,10.83,1.08,0.1791,0.0034,1.0,0.4376,High Risk,79.08,28,5
T5,3127,N96,NodeType.WAREHOUSE,DEPART_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 00:37:14,49.81301,23.494411,5.0,1.42,0.0,53.02,0.5,0,0.4715,0.5627,1.49,532.83,0.8302,1.0,9916.58,-10.0,0,7.63,0.87,0.4738,0.3621,0.6625,0.924,High Risk,81.83,39,5
T50,4545,N39,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 00:48:28,49.713391,22.79065,12.52,-2.0,0.56,204.52,0.5,1,0.5415,0.4984,0.0,684.07,0.4754,1.0,4366.89,-10.0,0,10.87,0.5,0.8599,0.6565,0.3351,0.4265,Moderate Risk,78.94,28,5
T21,4093,N27,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 00:49:51,51.353022,20.755589,5.19,4.12,0.76,0.0,2.27,0,0.6431,0.8249,0.0,646.6,0.3979,1.0,2537.76,14.5,0,9.31,0.5,0.7295,0.2136,0.5292,0.2199,Moderate Risk,78.61,41,5
T84,3789,N62,NodeType.INSPECTION,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:04:35,51.328526,19.769817,5.1,-2.0,0.39,302.53,0.5,1,0.4683,0.5372,0.0,475.26,0.678,8.27,6175.5,-10.0,0,10.46,0.5,0.9596,0.0,0.4518,0.6291,High Risk,82.02,32,5
T21,4093,N86,NodeType.CUSTOMER,ARRIVAL_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:08:24,51.361188,20.549797,5.09,-0.66,0.34,598.84,0.5,1,0.3717,0.73,0.0,145.02,0.9035,1.37,6044.81,-10.0,0,9.5,0.72,1.0,0.0,0.9121,1.0,High Risk,89.62,36,5
T14,1186,N73,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:11:05,49.283886,21.22561,6.63,5.42,1.25,470.99,0.5,0,0.2465,0.6531,2.99,100.0,0.9282,16.5,3156.58,-10.0,0,14.77,0.78,0.8044,0.3717,0.7468,1.0,High Risk,87.56,37,5
T1,2120,N53,NodeType.WAREHOUSE,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:20:27,49.719924,14.907012,8.17,0.92,0.21,39.6,0.5,1,0.1336,0.7466,4.49,458.99,0.6942,10.32,8778.8,-10.0,0,9.54,0.5,0.3199,0.4219,1.0,1.0,High Risk,77.03,37,5
T11,4225,N32,NodeType.INSPECTION,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:26:55,51.194612,17.569614,13.91,-0.91,1.14,194.09,0.5,1,0.5226,0.6343,7.13,441.42,0.3554,1.0,6808.16,-10.0,0,10.1,0.5,0.6607,0.0,0.7659,0.8789,High Risk,81.29,48,5
T110,3199,N91,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:38:28,51.068863,18.080285,13.98,-0.43,0.55,182.95,0.5,1,0.0057,0.495,5.63,448.92,0.6074,1.0,6780.04,-10.0,0,15.58,0.5,0.2654,0.0626,0.928,0.8637,High Risk,79.13,34,5
T30,3861,N66,NodeType.PORT,DEPART_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 01:43:09,48.929504,14.564024,7.44,4.03,0.0,568.1,0.5,0,0.5307,1.0,4.2,462.61,0.4837,1.0,4692.54,-10.0,1,5.19,0.5,0.672,0.7107,0.3148,0.754,Moderate Risk,74.97,29,5
T46,1470,N12,NodeType.INSPECTION,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:43:11,51.145619,20.882622,11.53,6.34,0.31,0.0,0.5,0,0.3082,0.6536,0.0,100.0,0.4774,4.8,4897.48,-10.0,0,8.52,0.75,0.9775,0.6915,0.1503,0.9513,Moderate Risk,79.72,37,5
T125,3837,N91,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:43:38,51.068863,18.080285,8.26,5.79,0.0,0.0,0.5,1,0.4198,0.5341,0.0,395.98,0.7291,4.15,8126.26,0.63,0,8.7,0.5,0.4823,0.6883,0.6986,0.7429,High Risk,79.5,34,5
T13,3313,N18,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:48:10,50.39766,14.591972,5.0,-2.0,0.0,146.8,0.5,1,0.3274,0.9112,3.24,713.08,0.9201,8.15,1674.01,-9.0,0,10.95,0.5,0.9379,0.4307,0.5786,1.0,High Risk,87.32,41,5
T35,1239,N100,NodeType.WAREHOUSE,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:49:07,50.916985,23.987297,12.33,3.51,0.0,137.97,4.14,1,0.4987,0.5083,0.4,362.11,0.8165,10.37,503.71,-10.0,1,5.55,0.5,0.4349,0.1116,0.0996,0.9771,Moderate Risk,83.41,34,5
T5,3127,N37,NodeType.CUSTOMER,ARRIVAL_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 01:51:58,49.34921,23.796748,5.51,0.29,0.59,477.5,0.5,1,0.3005,0.4072,0.0,103.74,0.3062,1.22,6918.55,-10.0,0,8.19,0.5,1.0,0.7196,0.2109,1.0,Moderate Risk,84.42,48,5
T38,3130,N85,NodeType.CUSTOMER,ARRIVAL_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:58:08,49.81791,21.860772,10.0,0.51,0.93,0.0,0.5,0,0.2115,0.5804,2.11,626.56,0.1893,2.36,8829.7,-10.0,0,11.67,0.5,0.163,0.0,0.5776,0.9534,High Risk,88.33,40,5
T84,3789,N60,NodeType.CUSTOMER,ARRIVAL_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:58:21,51.321993,19.386179,6.0,5.88,0.42,7.68,0.5,1,0.2722,0.7352,3.31,965.13,0.1377,8.88,6320.41,-10.0,0,11.91,2.15,1.0,0.3848,0.8086,0.9069,High Risk,84.9,40,5
