truck_id,order_id,node_id,node_type,event_type,truck_status,timestamp,vehicle_gps_latitude,vehicle_gps_longitude,fuel_consumption_rate,eta_variation_hours,traffic_congestion_level,warehouse_inventory_level,loading_unloading_time,handling_equipment_availability,order_fulfillment_status,weather_condition_severity,port_congestion_level,shipping_costs,supplier_reliability_score,lead_time_days,historical_demand,iot_temperature,cargo_condition_status,route_risk_level,customs_clearance_time,driver_behavior_score,fatigue_monitoring_score,disruption_likelihood_score,delay_probability,risk_classification,delivery_time_deviation,pending_orders_count,episode_id
T45,4044,N68,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 00:23:47,49.666031,21.550813,6.89,-0.21,0.0,92.45,0.5,1,0.5533,0.6484,2.62,161.19,0.5659,15.36,4365.12,-10.0,1,5.48,2.83,0.7189,0.0,0.7707,0.9955,High Risk,152.2,26,2
T47,950,N68,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 00:31:53,49.666031,21.550813,6.93,-2.0,0.68,0.0,0.5,1,0.0762,0.5857,5.08,312.7,0.7095,1.58,10000.0,-10.0,0,12.86,0.5,0.5939,0.013,1.0,0.9525,High Risk,151.83,26,2
T21,1622,N46,NodeType.PORT,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 00:40:28,51.060698,22.521341,15.8,2.13,1.38,0.0,0.5,1,0.609,0.5526,4.83,453.92,0.0702,1.0,9112.71,-10.0,0,6.51,0.5,1.0,0.6874,0.4581,0.5408,Moderate Risk,155.99,51,2
T19,52,N53,NodeType.WAREHOUSE,DEPART_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 00:40:43,49.719924,14.907012,11.33,1.72,0.43,403.9,1.33,1,0.3571,0.9348,3.93,794.73,0.5732,15.7,7695.17,-3.56,1,6.75,0.5,0.0,0.3887,1.0,1.0,High Risk,154.44,48,2
T5,707,N41,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 00:57:15,51.219108,24.0,9.45,0.38,0.0,403.59,1.46,1,0.2788,0.4305,0.0,100.0,0.0,2.19,2569.84,0.48,0,10.47,2.76,0.4488,0.395,0.9556,0.7002,High Risk,151.38,35,2
T85,2013,N49,NodeType.WAREHOUSE,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:00:54,49.932226,16.334858,12.51,0.8,0.0,0.0,0.57,1,0.626,0.8858,2.46,245.16,0.0,6.37,6038.5,-10.0,1,3.12,0.5,0.0,0.3399,0.682,0.9882,Moderate Risk,148.27,40,2
T85,2013,N6,NodeType.CUSTOMER,ARRIVAL_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:12:35,49.948557,16.451728,5.0,4.62,0.0,85.89,0.66,0,0.28,0.8109,1.44,390.86,0.9447,3.7,4243.48,-10.0,0,12.07,1.33,0.0,0.0,0.7151,1.0,High Risk,149.51,38,2
T59,3282,N42,NodeType.WAREHOUSE,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:15:51,48.829885,17.313008,16.03,3.01,1.39,452.95,0.5,0,0.4616,0.7858,5.43,100.0,0.1791,3.99,3676.18,-10.0,1,4.77,1.21,0.0,0.171,0.5087,0.5998,Moderate Risk,145.73,41,2
T63,1817,N53,NodeType.WAREHOUSE,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:21:29,49.719924,14.907012,7.2,0.97,0.0,0.0,0.5,1,0.5577,0.9388,2.61,909.08,0.0,2.82,981.6,-10.0,1,6.49,1.96,0.4536,0.0,0.6288,0.9457,High Risk,155.99,48,2
T3,3395,N91,NodeType.WAREHOUSE,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:22:20,51.068863,18.080285,9.67,-1.64,0.96,662.74,0.5,1,0.5305,0.6092,3.71,634.46,0.425,1.74,10000.0,-0.2,0,10.23,2.99,1.0,0.5954,0.5455,0.5117,Moderate Risk,147.89,35,2
T45,4044,N73,NodeType.CUSTOMER,ARRIVAL_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 01:23:36,49.283886,21.22561,9.35,2.3,0.45,13.07,0.5,1,0.4962,0.6924,3.79,426.91,0.2062,5.97,3423.66,-10.0,0,8.06,0.5,0.6831,0.117,0.7935,1.0,High Risk,148.48,45,2
T77,362,N53,NodeType.WAREHOUSE,DEPART_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 01:23:47,49.719924,14.907012,5.23,2.98,0.35,283.47,1.28,1,0.3461,0.8399,1.82,877.81,0.1984,7.66,1900.91,-3.44,0,7.53,1.06,0.0,0.0901,0.4208,1.0,High Risk,146.96,48,2
T47,950,N85,NodeType.CUSTOMER,ARRIVAL_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:27:44,49.81791,21.860772,13.28,-2.0,0.42,0.0,0.5,1,0.2706,0.492,0.0,598.07,0.675,15.5,7865.05,-10.0,0,8.65,0.92,0.2549,0.2076,0.8848,1.0,High Risk,154.85,43,2
T2,4542,N54,NodeType.INSPECTION,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:33:01,48.593086,20.351626,5.07,-1.13,0.0,217.42,2.48,0,0.2214,0.6554,0.0,547.39,0.7025,10.69,9304.56,-10.0,0,11.67,1.5,0.6566,0.379,0.5643,0.9368,High Risk,157.18,33,2
T42,3085,N24,NodeType.WAREHOUSE,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:33:29,50.691617,14.647866,9.89,-0.68,0.73,0.0,3.85,0,0.3415,0.8576,1.34,464.96,0.7861,7.44,5728.51,-1.81,0,11.46,0.73,0.2352,0.0,1.0,1.0,High Risk,151.54,38,2
T25,1842,N2,NodeType.PORT,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:37:16,48.529395,21.1875,10.23,0.52,0.0,0.0,0.5,0,0.5232,0.5589,2.91,848.4,0.0571,2.18,10000.0,-10.0,0,6.85,1.12,0.4491,0.0,0.4415,1.0,High Risk,147.66,36,2
T21,1622,N3,NodeType.CUSTOMER,ARRIVAL_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:48:08,51.101525,22.869411,5.16,-2.0,0.64,0.0,0.53,1,0.4239,0.491,2.29,436.56,0.5255,1.0,9232.25,-5.1,0,11.92,1.67,0.3134,0.0522,0.0,0.7184,Moderate Risk,156.27,45,2
T30,2603,N35,NodeType.WAREHOUSE,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 02:03:49,51.588188,20.488821,5.36,-2.0,0.0,282.25,0.5,1,0.3602,0.356,4.59,362.26,0.9423,1.0,3426.96,-7.21,0,14.68,0.5,1.0,0.5265,0.881,0.775,High Risk,147.39,45,2
T63,1817,N88,NodeType.CUSTOMER,ARRIVAL_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 02:16:59,49.852205,14.360772,8.46,-0.49,0.0,46.26,1.08,0,0.1476,0.7499,7.77,360.14,0.8523,11.79,6973.33,-10.0,0,13.26,0.5,0.3832,0.0655,0.6378,0.4288,High Risk,150.57,39,2
T29,4719,N77,NodeType.HUB,DEPART_NODE,RESTING,2023-01-01 02:20:00,51.016604,19.485264,18.05,2.04,0.0,0.0,0.74,1,0.349,0.5337,6.37,439.19,1.0,4.15,2112.51,-10.0,0,8.42,0.5,0.6769,0.0,0.629,0.744,High Risk,144.74,41,2
T33,1282,N46,NodeType.PORT,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 02:23:16,51.060698,22.521341,5.1,2.34,0.39,842.86,0.59,1,0.3875,0.6198,6.68,238.07,0.5684,5.33,4673.86,-10.0,0,7.85,0.5,0.4173,0.0,0.1295,0.7678,Moderate Risk,154.59,51,2
T6,4076,N59,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 02:23:52,51.387317,16.212907,16.85,1.53,0.63,500.15,1.27,1,0.2731,0.7236,1.5,1000.0,0.1532,1.0,7078.81,-10.0,0,12.14,1.77,0.9952,0.0,0.8311,1.0,High Risk,145.86,38,2
T42,3085,N18,NodeType.CUSTOMER,ARRIVAL_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 02:31:03,50.39766,14.591972,13.51,2.21,0.3,0.0,1.03,1,0.1992,1.0,3.89,102.88,0.9005,9.25,4192.67,-10.0,0,16.87,0.5,0.1521,0.4383,0.6049,0.7752,High Risk,152.01,43,2
T59,3282,N89,NodeType.CUSTOMER,ARRIVAL_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 02:31:30,48.591452,17.582317,5.96,-0.88,0.27,0.0,2.0,0,0.5057,0.6913,4.02,654.38,0.0,9.98,681.9,-10.0,1,5.92,2.59,0.6483,0.0922,0.093,0.7073,Moderate Risk,149.54,42,2
T19,52,N19,NodeType.CUSTOMER,ARRIVAL_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 02:35:22,49.471693,15.504065,5.06,0.9,0.26,0.0,0.5,1,0.3936,0.7332,4.35,1057.32,0.6209,1.0,9429.49,-10.0,0,13.24,2.31,0.3325,0.0,0.8835,0.6309,High Risk,150.54,49,2
T15,937,N47,NodeType.PORT,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 02:45:18,50.606696,17.490854,5.0,-2.0,0.0,414.98,0.5,0,0.2655,0.785,6.86,502.04,0.2394,4.21,1768.27,-10.0,0,11.84,0.5,0.4151,0.0,0.6658,1.0,High Risk,149.15,37,2
T12,4189,N84,NodeType.PORT,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 02:55:26,50.632826,15.504065,11.09,-0.42,0.6,0.0,0.76,1,0.5364,0.8961,3.85,496.93,0.0657,4.85,100.02,-10.0,0,8.73,0.5,0.493,0.2299,0.8478,0.5513,High Risk,146.44,40,2
T77,362,N88,NodeType.CUSTOMER,ARRIVAL_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 02:56:24,49.852205,14.360772,5.0,-1.29,0.0,276.07,0.82,1,0.4095,0.808,0.05,104.63,0.9661,5.49,3867.65,-10.0,0,7.65,0.5,1.0,0.0,0.8308,1.0,High Risk,149.64,39,2
T30,2603,N27,NodeType.HUB,ARRIVAL_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 02:59:29,51.353022,20.755589,10.65,-1.97,0.48,0.0,0.5,0,0.1778,0.5171,10.11,464.5,0.3757,13.54,10000.0,-10.0,0,10.78,1.73,0.2949,0.2081,0.6971,1.0,High Risk,148.98,37,2
T3,3395,N47,NodeType.PORT,ARRIVAL_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 02:59:53,50.606696,17.490854,15.85,5.02,0.57,119.38,2.3,0,0.5254,0.8312,4.06,756.79,0.0,4.95,9068.67,-10.0,1,3.66,2.76,0.4011,0.2946,0.4601,0.6524,Moderate Risk,150.38,37,2
