truck_id,order_id,node_id,node_type,event_type,truck_status,timestamp,vehicle_gps_latitude,vehicle_gps_longitude,fuel_consumption_rate,eta_variation_hours,traffic_congestion_level,warehouse_inventory_level,loading_unloading_time,handling_equipment_availability,order_fulfillment_status,weather_condition_severity,port_congestion_level,shipping_costs,supplier_reliability_score,lead_time_days,historical_demand,iot_temperature,cargo_condition_status,route_risk_level,customs_clearance_time,driver_behavior_score,fatigue_monitoring_score,disruption_likelihood_score,delay_probability,risk_classification,delivery_time_deviation,pending_orders_count,episode_id
T24,4197,N62,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 00:02:34,51.328526,19.769817,9.95,0.04,0.0,0.0,0.5,0,0.3914,0.6148,0.0,502.31,0.7867,6.19,2275.36,-10.0,0,8.52,0.5,0.5939,0.0,0.3457,0.885,Moderate Risk,103.34,34,0
T15,3140,N39,NodeType.PORT,DEPART_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 00:09:28,49.713391,22.79065,11.37,0.34,0.0,358.99,0.5,0,0.4789,0.477,0.97,364.71,0.4069,1.0,6986.62,2.64,0,12.03,0.5,0.3389,0.0,0.935,0.4315,High Risk,110.77,39,0
T19,2813,N95,NodeType.INSPECTION,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 00:21:19,48.44284,23.199695,9.78,-1.22,0.19,316.91,0.5,0,0.4998,0.5622,3.26,508.01,0.0577,1.0,4373.01,-10.0,0,8.14,1.84,0.0433,0.0,0.8247,0.9795,High Risk,102.48,35,0
T2,3267,N80,NodeType.WAREHOUSE,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 00:28:52,48.535927,16.944614,17.43,0.47,0.35,0.0,0.5,0,0.1801,0.8202,4.65,1000.0,0.4579,1.0,9261.73,-10.0,0,10.69,0.5,0.4786,0.2954,0.7826,1.0,High Risk,104.14,30,0
T10,88,N20,NodeType.WAREHOUSE,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 00:30:14,51.10969,20.496443,11.4,0.9,0.61,0.0,0.5,1,0.3244,0.3516,0.0,823.01,0.0014,1.0,4524.83,-10.0,0,9.96,0.5,0.7748,0.4712,0.0,0.7057,Moderate Risk,102.65,30,0
T78,335,N47,NodeType.WAREHOUSE,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 00:34:08,50.606696,17.490854,8.99,2.6,0.84,0.0,0.5,1,0.3793,0.7037,3.58,576.1,0.0159,2.52,5644.06,-10.0,0,8.25,0.5,0.6607,0.4213,0.6922,1.0,High Risk,107.66,37,0
T61,1497,N73,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 00:34:40,49.283886,21.22561,10.24,4.85,0.91,0.0,0.5,1,0.2825,0.7782,0.34,368.53,0.6372,1.0,8588.71,-1.28,0,10.5,0.62,0.6903,0.0,0.7063,0.8227,High Risk,103.47,41,0
T38,1851,N9,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 00:36:58,50.711214,20.852134,13.31,0.9,1.01,603.83,0.5,0,0.8244,0.5908,5.22,273.08,0.6931,1.0,1547.62,-10.0,0,11.0,0.5,0.0,0.0,0.3933,0.1326,Moderate Risk,100.37,40,0
T7,4857,N6,NodeType.INSPECTION,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 00:40:54,49.948557,16.451728,14.05,1.8,0.37,261.24,0.5,0,0.4552,0.7871,0.0,353.54,0.8036,3.73,9009.27,-10.0,0,8.33,0.5,0.0,0.1446,0.5922,0.835,High Risk,108.97,37,0
T20,2912,N97,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 00:48:44,49.012792,15.923272,5.71,7.31,0.63,0.0,0.5,1,0.7117,0.9013,1.93,356.37,0.6002,5.78,3002.53,-10.0,1,6.22,0.5,1.0,0.2412,0.1745,0.5592,Moderate Risk,98.07,37,0
T38,1851,N7,NodeType.CUSTOMER,ARRIVAL_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 00:55:27,50.792869,20.864837,16.7,-0.79,0.44,100.3,0.9,0,0.4704,0.5052,0.0,168.54,0.9366,4.63,10000.0,-10.0,0,8.2,0.5,0.465,0.0821,0.0901,0.6679,Moderate Risk,107.1,35,0
T52,333,N86,NodeType.PORT,DEPART_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 01:00:03,51.361188,20.549797,7.36,0.18,0.04,65.82,1.13,1,0.3362,0.7562,0.87,528.57,0.6431,4.86,10000.0,-10.0,0,13.38,2.22,0.6727,0.0,0.8952,0.5103,High Risk,101.24,31,0
T52,333,N27,NodeType.CUSTOMER,ARRIVAL_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 01:21:59,51.353022,20.755589,9.6,3.64,0.69,266.75,1.8,0,0.3478,0.5569,0.0,560.73,0.6592,1.68,9563.14,-10.0,0,10.57,0.5,0.569,0.0,0.8717,1.0,High Risk,110.45,37,0
T21,4705,N24,NodeType.INSPECTION,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:22:05,50.691617,14.647866,16.15,-2.0,0.21,242.83,0.5,0,0.4042,0.8618,4.17,100.0,0.874,12.0,10000.0,-10.0,1,6.39,0.5,0.6497,0.0,0.5747,0.989,High Risk,105.35,33,0
T24,4197,N77,NodeType.CUSTOMER,ARRIVAL_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 01:27:03,51.016604,19.485264,5.22,1.03,0.88,0.0,3.35,1,0.28,0.6493,0.0,489.07,0.2703,4.84,7131.71,-10.0,0,11.45,1.69,0.2219,0.4764,0.736,0.9544,High Risk,107.84,43,0
T10,88,N12,NodeType.CUSTOMER,ARRIVAL_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:27:48,51.145619,20.882622,5.05,1.14,0.0,170.19,0.5,0,0.3302,0.66,4.85,353.33,0.9763,10.59,1711.23,-2.75,0,9.64,0.5,0.7351,0.0,0.567,1.0,High Risk,102.86,30,0
T160,381,N73,NodeType.HUB,DEPART_NODE,RESTING,2023-01-01 01:35:10,49.283886,21.22561,10.49,-2.0,0.27,0.0,1.75,0,0.4536,0.5472,0.8,262.07,0.2325,7.62,380.03,-10.0,1,6.74,0.5,0.212,0.0,0.7605,1.0,High Risk,106.88,41,0
T8,1137,N71,NodeType.INSPECTION,DEPART_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 01:45:06,51.104791,23.888211,5.59,-0.87,0.83,269.95,0.5,1,0.4853,0.515,0.0,382.1,0.4062,9.04,10000.0,-10.0,0,8.34,2.1,0.1203,0.7786,0.8938,0.951,High Risk,102.02,36,0
T15,3140,N30,NodeType.CUSTOMER,ARRIVAL_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 01:49:11,50.134731,22.894817,11.09,0.08,0.08,43.29,0.5,1,0.0539,0.6118,0.0,1049.86,0.7833,1.06,8820.09,-10.0,0,17.33,0.5,0.3748,0.0,0.5983,0.9118,High Risk,100.08,37,0
T3,3406,N19,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:53:46,49.471693,15.504065,10.84,4.63,0.78,63.1,0.5,1,0.4175,0.9341,0.0,1000.0,0.6041,8.06,10000.0,-10.0,1,5.75,2.17,0.0082,0.0353,0.362,1.0,Moderate Risk,106.56,49,0
T20,2912,N56,NodeType.CUSTOMER,ARRIVAL_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:55:59,48.810288,16.372967,11.12,-0.57,0.88,0.0,0.58,1,0.7163,0.7772,1.67,415.26,0.8681,1.0,10000.0,-9.82,1,6.19,0.5,0.2624,0.022,0.0,0.4891,Low Risk,106.54,34,0
T26,2306,N24,NodeType.INSPECTION,DEPART_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 02:08:43,50.691617,14.647866,6.45,2.4,0.91,302.51,0.63,1,0.2679,0.9876,1.37,1000.0,0.0,4.71,4511.37,-10.0,0,8.16,0.5,0.768,0.0,0.9412,0.8876,High Risk,108.49,33,0
T61,1497,N69,NodeType.CUSTOMER,ARRIVAL_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 02:09:21,49.350843,20.488821,5.0,4.26,0.0,0.0,0.5,1,0.3482,0.6138,0.0,902.62,0.5455,8.19,7343.49,-10.0,0,7.94,1.59,0.9633,0.1429,0.92,1.0,High Risk,99.81,35,0
T14,2556,N80,NodeType.WAREHOUSE,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 02:15:36,48.535927,16.944614,15.94,0.13,1.66,222.2,0.98,1,0.2166,0.8186,0.73,564.02,0.764,1.0,4598.94,-10.0,0,8.55,3.1,0.4018,0.0,0.4612,1.0,High Risk,98.8,30,0
T21,4705,N18,NodeType.CUSTOMER,ARRIVAL_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 02:18:12,50.39766,14.591972,7.68,-2.0,0.44,0.0,0.5,0,0.3934,0.6566,1.75,524.13,0.7277,15.01,10000.0,-10.0,0,8.93,2.33,0.9299,0.4415,0.6955,1.0,High Risk,108.8,38,0
T19,2813,N82,NodeType.CUSTOMER,ARRIVAL_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 02:19:18,48.60615,22.630589,5.08,5.03,0.31,0.0,0.5,0,0.1786,0.6101,0.0,442.87,0.0633,1.0,6180.76,-2.22,0,8.63,0.5,0.9571,0.1482,0.8614,1.0,High Risk,104.68,36,0
T7,4857,N1,NodeType.CUSTOMER,ARRIVAL_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 02:19:52,49.906097,17.457825,7.13,4.89,0.43,197.74,1.59,0,0.244,0.7888,3.78,791.43,0.2872,6.97,2174.8,-10.0,0,12.97,0.5,1.0,0.7864,0.6683,1.0,High Risk,195.27,47,0
T52,333,N27,NodeType.CUSTOMER,END_SERVICE,EN_ROUTE_TO_DELIVERY,2023-01-01 02:21:59,51.353022,20.755589,7.35,2.68,0.26,643.34,0.5,1,0.1302,0.4724,6.26,643.86,0.4359,7.14,6913.8,-10.0,0,14.56,2.85,1.0,0.4867,1.0,1.0,High Risk,108.26,37,0
T52,333,N27,NodeType.CUSTOMER,DEPART_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 02:21:59,51.353022,20.755589,8.35,1.21,1.32,195.46,1.45,1,0.5228,0.6871,3.83,344.08,0.8651,6.61,8198.73,-3.8,1,4.67,0.5,1.0,0.5995,0.5787,0.7899,Moderate Risk,102.83,37,0
T44,3290,N9,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 02:23:39,50.711214,20.852134,8.85,-1.55,0.0,0.0,0.5,0,0.2007,0.6248,0.0,224.76,1.0,1.31,3555.99,-10.0,0,11.41,0.5,0.3008,0.0,0.6753,0.689,High Risk,104.65,40,0
T24,4197,N77,NodeType.CUSTOMER,END_SERVICE,EN_ROUTE_TO_DELIVERY,2023-01-01 02:27:03,51.016604,19.485264,10.52,-1.23,0.66,0.0,2.51,1,0.1775,0.7414,4.32,100.0,0.375,5.52,1303.17,-9.26,0,11.4,0.51,0.1868,0.2087,1.0,1.0,High Risk,99.96,43,0
T24,4197,N77,NodeType.CUSTOMER,DEPART_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 02:27:03,51.016604,19.485264,5.94,-2.0,0.0,121.73,0.5,1,0.3519,0.5325,1.28,256.27,0.2231,2.17,4672.44,-10.0,0,12.81,1.37,0.1646,0.0,1.0,0.7329,High Risk,109.48,43,0
T17,1268,N71,NodeType.INSPECTION,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 02:31:35,51.104791,23.888211,6.88,-2.0,0.36,486.53,2.9,1,0.6853,0.518,1.13,100.0,0.0656,1.0,5066.9,-10.0,1,1.25,0.5,0.7456,0.0861,0.271,0.9575,Moderate Risk,107.13,36,0
T22,3417,N80,NodeType.WAREHOUSE,DEPART_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 02:32:33,48.535927,16.944614,5.08,1.2,0.31,38.45,0.5,1,0.4481,0.7525,0.0,254.59,0.6236,6.25,100.02,-10.0,1,6.5,0.5,0.6174,0.321,0.3676,1.0,Moderate Risk,96.63,30,0
T160,381,N44,NodeType.CUSTOMER,ARRIVAL_NODE,RESTING,2023-01-01 02:45:09,48.922971,21.411077,5.85,0.89,0.0,0.0,1.49,1,0.465,0.504,0.15,649.53,0.9747,1.0,5233.21,-10.0,0,7.23,1.33,0.7301,0.009,0.9018,0.9104,High Risk,109.25,39,0
T38,1851,N7,NodeType.CUSTOMER,END_SERVICE,EN_ROUTE_TO_PICKUP,2023-01-01 02:55:31,50.792869,20.864837,8.56,-0.72,0.8,28.35,0.58,0,0.573,0.4817,4.3,100.0,0.7422,1.0,8570.39,-10.0,1,5.76,0.5,0.2095,0.0,0.4226,0.7737,Moderate Risk,103.16,35,0
T38,1851,N7,NodeType.CUSTOMER,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 02:55:31,50.792869,20.864837,11.35,0.82,0.28,0.0,0.5,1,0.809,0.4829,1.76,442.11,0.6148,1.0,10000.0,-10.0,1,4.39,2.28,1.0,0.4869,0.5729,0.572,Moderate Risk,101.69,35,0
