truck_id,order_id,node_id,node_type,event_type,truck_status,timestamp,vehicle_gps_latitude,vehicle_gps_longitude,fuel_consumption_rate,eta_variation_hours,traffic_congestion_level,warehouse_inventory_level,loading_unloading_time,handling_equipment_availability,order_fulfillment_status,weather_condition_severity,port_congestion_level,shipping_costs,supplier_reliability_score,lead_time_days,historical_demand,iot_temperature,cargo_condition_status,route_risk_level,customs_clearance_time,driver_behavior_score,fatigue_monitoring_score,disruption_likelihood_score,delay_probability,risk_classification,delivery_time_deviation,pending_orders_count,episode_id
T32,1010,N92,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 00:08:21,49.525585,16.96748,9.58,-1.19,0.41,354.23,0.5,1,0.4355,1.0,0.0,179.72,0.4024,1.89,7066.43,1.31,0,12.79,0.5,0.8977,0.0,0.3822,0.5107,High Risk,164.47,36,7
T43,2701,N92,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 00:22:35,49.525585,16.96748,6.58,2.73,0.4,333.42,0.5,1,0.182,0.9171,0.74,204.83,0.0,3.51,10000.0,-10.0,0,11.82,0.5,0.33,0.0,1.0,0.8983,High Risk,160.49,36,7
T36,2108,N7,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 00:25:10,50.792869,20.864837,5.0,3.56,0.0,30.09,0.5,1,0.2581,0.7622,2.39,606.08,0.7734,5.39,10000.0,-10.0,0,10.47,0.98,0.3214,0.2819,0.6207,1.0,High Risk,164.05,49,7
T30,3588,N59,NodeType.INSPECTION,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 00:40:37,51.387317,16.212907,12.71,-0.05,0.07,181.37,0.5,1,0.49,0.609,6.5,860.03,0.7871,11.6,9425.93,-10.0,1,4.62,1.37,0.6133,0.156,0.6324,1.0,Moderate Risk,165.45,35,7
T61,941,N7,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 00:44:30,50.792869,20.864837,5.88,2.74,0.39,0.0,0.5,1,0.6425,0.7067,3.62,100.0,0.547,1.92,7536.9,-10.0,0,8.54,0.5,0.6611,0.0,0.6827,0.3684,Moderate Risk,169.8,49,7
T17,212,N26,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 00:54:03,48.411812,14.403963,10.56,-0.19,0.0,489.18,0.61,1,0.4032,0.819,0.0,608.53,0.834,2.03,4121.58,-10.0,0,13.23,3.71,0.513,0.391,0.2543,0.5863,High Risk,169.55,41,7
T32,1010,N8,NodeType.CUSTOMER,ARRIVAL_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:03:09,49.229994,17.219004,5.17,3.82,0.46,250.64,0.5,0,0.0884,0.7077,3.3,532.83,0.8151,1.0,4123.58,-7.53,0,12.57,0.5,0.4634,0.0429,0.3785,1.0,High Risk,172.04,44,7
T36,2108,N57,NodeType.CUSTOMER,ARRIVAL_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 01:04:08,50.78797,20.628557,5.09,0.33,0.35,39.31,0.57,0,0.6702,0.5739,0.0,839.53,0.315,2.4,5739.69,-10.0,1,5.88,1.12,0.2999,0.0,0.7669,0.7294,Moderate Risk,157.8,42,7
T45,3931,N76,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:05:36,48.539193,23.84248,10.3,2.51,0.18,76.71,0.5,1,0.2243,0.3898,2.69,157.35,0.9443,15.04,5783.41,-10.0,0,9.62,0.5,0.5229,0.0,0.3982,0.9765,High Risk,164.85,40,7
T168,1759,N92,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:07:33,49.525585,16.96748,7.71,0.51,0.3,351.42,1.14,1,0.6586,0.6601,1.64,100.0,0.7414,4.94,8540.24,-10.0,1,6.6,0.5,0.2841,0.0,0.2279,0.4084,Moderate Risk,163.2,36,7
T14,3486,N74,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 01:13:12,51.256669,16.311992,11.76,2.49,0.07,165.53,0.5,1,0.4343,0.8432,4.66,294.6,0.0,4.06,10000.0,-9.97,0,10.4,0.62,0.7534,0.1092,0.8741,1.0,High Risk,170.71,34,7
T69,2860,N7,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:28:54,50.792869,20.864837,9.14,1.25,0.75,164.54,1.5,1,0.6264,0.6643,0.0,516.37,0.4955,2.99,10000.0,-10.0,0,9.49,0.5,0.6269,0.0886,0.5391,0.4863,Moderate Risk,164.23,49,7
T14,3486,N21,NodeType.CUSTOMER,ARRIVAL_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 01:30:13,51.148885,16.309451,12.25,0.05,0.0,304.6,1.06,1,0.2498,0.7043,1.39,623.93,0.7272,1.0,10000.0,-10.0,0,14.68,1.72,0.6964,0.2416,0.7666,0.7166,High Risk,160.74,27,7
T43,2701,N1,NodeType.CUSTOMER,ARRIVAL_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:42:51,49.906097,17.457825,5.7,2.94,0.57,0.0,0.5,1,0.4278,0.7798,1.77,776.35,0.765,4.94,100.02,-10.0,0,9.37,0.5,0.3407,0.0,0.5829,1.0,High Risk,164.59,31,7
T61,941,N55,NodeType.CUSTOMER,ARRIVAL_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:45:24,51.021503,21.433943,5.15,2.31,0.61,573.41,0.5,1,0.738,0.4848,4.67,425.15,0.0,1.0,3445.64,-10.0,1,6.47,0.5,0.4916,0.0,0.1937,0.2211,Low Risk,160.75,40,7
T9,1761,N28,NodeType.WAREHOUSE,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:55:34,49.943658,18.512195,5.56,0.74,0.34,0.0,2.76,1,0.5871,0.6408,3.24,275.06,0.0,1.0,10000.0,-10.0,0,8.4,0.5,0.5719,0.1827,0.3073,0.4705,Moderate Risk,164.18,27,7
T39,627,N47,NodeType.PORT,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 02:00:01,50.606696,17.490854,10.02,1.16,0.73,320.46,1.22,0,0.1263,0.9314,4.01,440.51,0.5271,4.83,10000.0,-10.0,0,15.2,0.5,0.5594,0.5515,0.8681,1.0,High Risk,164.38,33,7
T30,3588,N11,NodeType.CUSTOMER,ARRIVAL_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 02:16:20,51.364454,17.130081,7.33,0.79,0.0,430.63,3.46,1,0.122,0.8529,0.66,288.08,0.2455,4.6,10000.0,-10.0,0,15.98,0.5,0.6372,0.8544,1.0,0.6652,High Risk,168.76,33,7
