truck_id,order_id,node_id,node_type,event_type,truck_status,timestamp,vehicle_gps_latitude,vehicle_gps_longitude,fuel_consumption_rate,eta_variation_hours,traffic_congestion_level,warehouse_inventory_level,loading_unloading_time,handling_equipment_availability,order_fulfillment_status,weather_condition_severity,port_congestion_level,shipping_costs,supplier_reliability_score,lead_time_days,historical_demand,iot_temperature,cargo_condition_status,route_risk_level,customs_clearance_time,driver_behavior_score,fatigue_monitoring_score,disruption_likelihood_score,delay_probability,risk_classification,delivery_time_deviation,pending_orders_count,episode_id
T63,3464,N31,NodeType.WAREHOUSE,DEPART_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 00:07:01,48.472236,17.142785,5.06,0.19,0.25,0.0,2.93,0,0.3377,0.9699,0.41,449.23,0.9004,1.0,5027.12,-10.0,0,14.29,0.5,0.0,0.3456,1.0,0.2749,High Risk,79.47,35,1
T4,1831,N5,NodeType.WAREHOUSE,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 00:20:54,49.460261,23.829776,12.6,2.18,0.0,631.5,0.94,1,0.3006,0.5899,0.0,589.69,0.3698,1.0,9341.7,-10.0,0,16.48,0.5,0.913,0.8144,0.783,0.6618,High Risk,92.46,41,1
T22,2654,N24,NodeType.INSPECTION,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 00:44:56,50.691617,14.647866,5.83,1.87,0.0,496.02,0.5,1,0.4519,0.8015,4.3,899.61,0.0,8.22,3335.82,-10.0,0,8.56,0.5,0.6073,0.0,0.5995,1.0,High Risk,83.75,39,1
T50,1399,N93,NodeType.PORT,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 00:55:52,50.020414,18.49187,11.32,-2.0,0.67,0.0,1.26,1,0.4528,0.799,7.31,590.32,0.6054,8.24,5049.04,-10.0,0,9.13,1.03,0.1054,0.1359,0.5511,1.0,High Risk,86.9,40,1
T3,118,N16,NodeType.PORT,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 00:59:01,49.780348,14.264228,11.2,5.12,0.57,338.77,0.5,1,0.3502,1.0,9.42,448.02,0.9353,8.51,7773.09,-6.45,1,5.35,0.5,0.6619,0.0,0.7606,0.7007,Moderate Risk,83.89,37,1
T6,1239,N47,NodeType.WAREHOUSE,DEPART_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 01:00:54,50.606696,17.490854,5.19,1.58,0.75,0.0,0.5,1,0.6669,0.7224,1.29,162.48,0.6571,3.45,6804.4,-10.0,1,6.42,0.5,0.0319,0.0,1.0,0.4129,Moderate Risk,85.99,34,1
T72,1592,N16,NodeType.PORT,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:11:41,49.780348,14.264228,6.37,0.23,0.54,126.49,0.5,1,0.6481,0.8469,2.25,557.0,0.0,1.0,6781.0,-8.59,1,6.88,0.5,0.1265,0.0204,0.1813,0.5328,Moderate Risk,81.82,37,1
T13,2795,N71,NodeType.PORT,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:13:03,51.104791,23.888211,9.3,3.9,0.03,187.85,0.5,1,0.345,0.4091,11.93,315.8,1.0,11.02,100.02,-10.0,0,11.36,0.5,0.6037,0.0,0.5496,0.6412,High Risk,88.96,45,1
T66,1132,N31,NodeType.WAREHOUSE,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:23:17,48.472236,17.142785,7.26,3.99,0.54,130.81,0.5,1,0.1126,0.6651,5.3,770.4,0.5033,12.49,2554.56,-10.0,0,17.55,0.5,0.6678,0.0,0.7746,1.0,High Risk,90.33,35,1
T161,1875,N31,NodeType.WAREHOUSE,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 01:29:38,48.472236,17.142785,5.0,5.46,0.0,0.0,0.5,0,0.4017,0.7749,3.16,252.99,0.3152,3.76,8112.27,-7.4,0,8.86,0.5,0.7638,0.3619,0.1508,0.7744,Moderate Risk,89.0,35,1
